Bird Name,Recording #,Title,Source,URL,Audio URL,Location,Recordist,Quality
Cirl Bunting,2,Cirl Bunting - song,Xeno-canto,https://www.xeno-canto.org/1007646,https://xeno-canto.org/1007646/download,"Bois Sagnières (near  Chorges), Hautes-Alpes, Provence-Alpes-Côte d'Azur",Azens,A
Cirl Bunting,3,Cirl Bunting - song,Xeno-canto,https://www.xeno-canto.org/1007542,https://xeno-canto.org/1007542/download,"Falerna, Provincia di Catanzaro, Calabria",Francesco Sottile,A
Thekla Lark,1,Thekla Lark song,eBird/Macaulay Library,https://ebird.org/species/thekla-lark,,Various,Various,High
Thekla Lark,2,Thekla Lark sounds and calls,All About Birds,https://www.allaboutbirds.org/guide/Thekla_Lark/sounds,,Various,Cornell Lab,High
Himalayan Monal,1,Himalayan Monal - call,Xeno-canto,https://www.xeno-canto.org/523178,https://xeno-canto.org/523178/download,Haa,Daniel Danckwerts,no score
Himalayan Monal,2,Himalayan Monal - ,Xeno-canto,https://www.xeno-canto.org/946556,https://xeno-canto.org/946556/download,"Soja-Jalori Pass Area,Himachal Pradesh",Pratap Singh,A
Himalayan Monal,3,Himalayan Monal - ,Xeno-canto,https://www.xeno-canto.org/946554,https://xeno-canto.org/946554/download,"Silt, Great Himalayan National Park Area,Arunachal Pradesh",Pratap Singh,A
Blood Pheasant,1,Blood Pheasant - call,Xeno-canto,https://www.xeno-canto.org/975250,https://xeno-canto.org/975250/download,"Gyirong, Tibet",Shuangqi Liu,A
Blood Pheasant,2,Blood Pheasant - call,Xeno-canto,https://www.xeno-canto.org/916269,https://xeno-canto.org/916269/download,"Mengbishan, Sichuan",Peter Boesman,A
Blood Pheasant,3,Blood Pheasant - song,Xeno-canto,https://www.xeno-canto.org/889114,https://xeno-canto.org/889114/download,Sela Pass,Lars Lachmann,A
Himalayan Bulbul,1,Himalayan Bulbul - song,Xeno-canto,https://www.xeno-canto.org/843983,https://xeno-canto.org/843983/download,"Kaski (near  Sarangkot), Gandaki, Western Region",Greg Irving,A
Himalayan Bulbul,2,Himalayan Bulbul - song,Xeno-canto,https://www.xeno-canto.org/843974,https://xeno-canto.org/843974/download,"Kaski (near  Sarangkot), Gandaki, Western Region",Greg Irving,A
Himalayan Bulbul,3,Himalayan Bulbul - song,Xeno-canto,https://www.xeno-canto.org/835420,https://xeno-canto.org/835420/download,"Gokarna Forest Resort, Kathmandu",Bram Piot,A
Rufous-breasted Accentor,1,Rufous-breasted Accentor - call,Xeno-canto,https://www.xeno-canto.org/953859,https://xeno-canto.org/953859/download,"Tang Ji He Reserve, Sichuan",Shuangqi Liu,A
Rufous-breasted Accentor,2,Rufous-breasted Accentor - song,Xeno-canto,https://www.xeno-canto.org/916553,https://xeno-canto.org/916553/download,"Mengbishan, Sichuan",Peter Boesman,A
